DC_NOME,SG_ESTADO,CD_SITUACAO,VL_LATITUDE,VL_LONGITUDE,VL_ALTITUDE,DT_INICIO_OPERACAO,CD_ESTACAO
LAGOA DA CONFUSAO,TO,Operante,-10.828286,-49.847882,178.0,2016-11-14,A055
LAGOA VERMELHA,RS,Operante,-28.222381,-51.512845,833.83,2007-03-01,A844
LARANJEIRAS DO SUL,PR,Pane,-25.37138888,-52.40083333,889.0,2016-08-06,B804
LENCOIS,BA,Pane,-12.55777777,-41.38888888,438.09,2008-04-04,A425
LINHARES,ES,Operante,-19.35694444,-40.0686111,40.0,2006-10-26,A614
LINS,SP,Pane,-21.66611111,-49.73472221,460.65,2006-09-19,A727
LUIZ EDUARDO MAGALHAES,BA,Operante,-12.1525,-45.82972221,760.68,2002-04-17,A404
LUZIANIA,GO,Operante,-16.26055555,-47.96694443,1000.82,2006-10-20,A012
Laguna  - Farol de Santa Marta,SC,Pane,-28.60444444,-48.81333333,34.36,2008-05-31,A866
MACAE,RJ,Operante,-22.3761111,-41.81194444,28.0,2006-09-21,A608
MACAJUBA,BA,Pane,-12.13166666,-40.35416666,360.0,2003-02-02,A412
MACAPA,AP,Operante,0.03499999,-51.08888888,16.62,2013-12-11,A249
MACAU,RN,Operante,-5.15111111,-36.57305554,17.37,2007-01-05,A317
MACEIO,AL,Operante,-9.55111111,-35.77027777,84.12,2003-02-24,A303
MACHADO,MG,Operante,-21.68083332,-45.94444444,969.0,2017-07-20,A567
MAJOR VIEIRA,SC,Operante,-26.3936111,-50.36333333,799.58,2009-02-08,A864
"MAL, CANDIDO RONDON",PR,Operante,-24.53333333,-54.01916666,392.07,2006-11-17,A820
MANACAPURU,AM,Operante,-3.29472221,-60.62833332,36.57,2008-04-09,A119
MANAUS,AM,Operante,-3.10333333,-60.01638888,61.25,2000-05-08,A101
MANHUACU,MG,Operante,-20.26333333,-42.18277777,819.47,2010-09-24,A556
MANICORE,AM,Operante,-5.7886111,-61.28833333,40.64,2011-12-11,A133
MANTENA,MG,Operante,-18.78062,-40.986505,254.91,2007-07-31,A540
MARABA,PA,Pane,-5.36638888,-49.05111111,116.58,2009-06-24,A240
MARACAJU,MS,Operante,-21.60916666,-55.17749999,388.94,2006-12-14,A731
MARAU,BA,Pane,-13.90694444,-38.97222221,6.24,2008-06-21,A438
MARECHAL THAUMATURGO,AC,Pane,-8.95,-72.78666666,220.98,2009-10-26,A137
MARIA DA FE,MG,Operante,-22.31444444,-45.37305554,1281.43,2006-11-30,A531
MARIANOPOLIS DO TO,TO,Operante,-9.57638888,-49.72333332,186.69,2012-11-23,A041
MARILANDIA,ES,Operante,-19.40722222,-40.53972221,95.0,2017-03-21,A632
MARILIA,SP,Operante,-22.23527777,-49.965,660.0,2017-05-14,A763
MARINGA,PR,Pane,-23.40527777,-51.93277777,548.51,2006-11-20,A835
MATEIROS,TO,Operante,-10.43444444,-45.92194443,791.0,2012-10-24,A040
MAUES,AM,Pane,-3.39888888,-57.67388888,25.49,2008-04-21,A122
MEDICILANDIA,PA,Pane,-3.51083333,-52.96333333,251.68,2008-02-16,A209
MINA DO PALITO,PA,Pane,-6.31999999,-55.78777777,259.88,2010-09-27,A246
MINEIROS,GO,Pane,-17.45472222,-52.60111111,862.0,2007-11-23,A026
MIRANDA,MS,Operante,-20.39555555,-56.43166666,132.49,2006-11-01,A722
MOCAMBINHO,MG,Operante,-15.08583333,-44.01611111,454.0,2007-11-10,A539
MONTALVANIA,MG,Operante,-14.40833333,-44.40416666,519.52,2007-06-25,A526
MONTE ALEGRE,PA,Operante,-2.0,-54.07638888,100.53,2012-07-05,A239
MONTE ALEGRE DE GOIAS,GO,Operante,-13.25361111,-46.89027777,552.0,2007-06-06,A032
MONTE VERDE,MG,Operante,-22.86166666,-46.04333333,1544.89,2004-12-18,A509
MONTEIRO,PB,Operante,-7.89444444,-37.12472221,606.39,2007-08-21,A334
MONTES CLAROS,MG,Operante,-16.68638888,-43.84388888,645.87,2002-12-18,A506
MORADA NOVA,CE,Operante,-5.0911111,-38.36472222,93.0,2007-08-23,A332
MORRETES,PR,Operante,-25.50888888,-48.80861111,50.31,2008-03-12,A873
MORRINHOS,GO,Operante,-17.74499999,-49.10166666,751.09,2001-05-24,A003
MOSSORO,RN,Operante,-4.90416666,-37.36694443,29.44,2007-05-21,A318
MOSTARDAS,RS,Pane,-31.24833333,-50.90638888,3.82,2008-03-10,A878
MURIAE,MG,Operante,-21.105,-42.37583332,282.79,2006-08-29,A517
NATAL,RN,Operante,-5.83722221,-35.20805555,47.46,2003-02-23,A304
NHUMIRIM,MS,Operante,-18.9886111,-56.62277777,102.26,2006-08-01,A717
NITEROI,RJ,Operante,-22.86749999,-43.10194444,6.0,2018-07-12,A627
NOSSA SENHORA DA GLORIA,SE,Pane,-10.20777777,-37.43194443,271.0,2017-03-23,A453
NOVA FATIMA,PR,Pane,-23.41527777,-50.57777777,664.31,2007-02-07,A842
NOVA FRIBURGO - SALINAS,RJ,Operante,-22.33472221,-42.67694443,1070.0,2010-09-17,A624
NOVA MARINGA,MT,Operante,-13.0386111,-57.09222221,334.36,2008-04-15,A928
NOVA PORTEIRINHA (JANAUBA),MG,Operante,-15.80277777,-43.29694444,532.0,2016-11-18,A563
NOVA TEBAS,PR,Operante,-24.43388888,-51.95388888,660.0,2006-12-20,A822
NOVA UBIRATA,MT,Pane,-13.41111111,-54.75222222,466.48,2008-04-12,A929
NOVO ARIPUANA,AM,Operante,-8.0911111,-60.38055554,45.0,2019-07-17,A144
NOVO HORIZONTE,SC,Operante,-26.40638888,-52.85027777,943.57,2008-09-19,A816
NOVO REPARTIMENTO,PA,Operante,-4.24388888,-49.93944444,100.76,2008-07-22,A235
OBIDOS,PA,Pane,-1.88083332,-55.51972221,89.64,2012-07-04,A232
OEIRAS,PI,Operante,-6.97416666,-42.14694444,154.03,2008-07-21,A354
OIAPOQUE,AP,Operante,3.81361111,-51.8625,15.14,2008-09-10,A242
OLIVEIRA,MG,Operante,-20.715,-44.86444444,1025.0,2017-10-18,A570
OURICURI,PE,Operante,-7.88583333,-40.10277777,457.85,2010-08-10,A366
OURINHOS,SP,Operante,-23.00055555,-49.84333333,500.0,2006-08-28,A716
OURO BRANCO,MG,Operante,-20.55666666,-43.75611111,1048.2,2006-07-27,A513
PACAJA,PA,Operante,-3.8436111,-50.63805555,89.02,2008-02-26,A210
PALMARES,PE,Operante,-8.66666666,-35.56805554,164.01,2008-09-03,A357
PALMAS,TO,Operante,-10.14777777,-48.31444444,267.0,2004-12-16,A009
PALMEIRA DAS MISSOES,RS,Operante,-27.92027777,-53.31805554,614.11,2008-02-25,A856
PALMEIRA DOS INDIOS,AL,Operante,-9.42027777,-36.62027777,278.01,2007-07-10,A327
PAO DE ACUCAR,AL,Operante,-9.74916666,-37.43083332,20.83,2007-07-13,A323
PARACATU,MG,Operante,-17.24444444,-46.88166666,705.0,2018-03-15,A571
PARAGOMINAS,PA,Pane,-2.90055555,-47.49499999,88.0,2007-10-17,A212
PARANA,TO,Operante,-12.615,-47.87194443,284.96,2005-03-03,A010
PARANAIBA,MS,Operante,-19.69555555,-51.18166666,408.06,2006-11-09,A710
PARANAPOEMA,PR,Pane,-22.65833333,-52.13444444,308.7,2008-03-03,A850
PARANATINGA,MT,Operante,-14.42138888,-54.0361111,476.91,2006-12-18,A915
PARANOA (COOPA-DF),DF,Operante,-16.012222,-47.557417,1043.0,2017-02-06,A047
PARATY,RJ,Operante,-23.2236111,-44.72694443,3.0,2006-11-18,A619
PARAUNA,GO,Operante,-16.9625,-50.42555554,678.74,2008-03-28,A027
PARINTINS,AM,Operante,-2.63916666,-56.75611111,18.72,2008-04-10,A123
PARNAIBA,PI,Pane,-3.08666666,-41.78305554,52.11,2003-02-05,A308
PARQUE ESTADUAL CHANDLESS,AC,Pane,-9.35833333,-69.92638888,184.51,2008-08-04,A102
PASSA QUATRO,MG,Pane,-22.39583333,-44.96194444,1017.1,2007-05-29,A529
PASSO FUNDO,RS,Operante,-28.22666666,-52.40361111,680.67,2006-11-26,A839
PASSOS,MG,Operante,-20.745237,-46.633916,781.7,2006-07-15,A516
PATOS,PB,Operante,-7.07972221,-37.27277777,263.66,2007-07-20,A321
PATOS DE MINAS,MG,Operante,-18.52055554,-46.44055555,950.0,2017-05-11,A562
PATROCINIO,MG,Pane,-18.99666666,-46.98583333,978.11,2006-08-21,A523
PAULISTANA,PI,Operante,-8.13222221,-41.14305555,376.0,2007-08-30,A330
PEDRO AFONSO,TO,Operante,-8.9686111,-48.17722221,189.71,2007-01-22,A020
PEIXE,TO,Pane,-12.01527777,-48.54444444,250.87,2006-11-30,A018
PETROLINA,PE,Pane,-9.38833333,-40.52333332,372.72,2003-02-20,A307
PIATA,BA,Pane,-13.15555555,-41.77416666,1283.95,2008-05-02,A430
PICO DO COUTO,RJ,Operante,-22.46472222,-43.29138888,1777.0,2006-10-21,A610
PICOS,PI,Operante,-7.0711111,-41.40416666,232.91,2008-12-11,A343
PIRACICABA,SP,Pane,-22.70305555,-47.62333332,566.46,2006-09-25,A726
PIRANHAS,AL,Operante,-9.62222221,-37.76722221,187.0,2017-09-19,A371
PIRAPORA,MG,Operante,-17.258064,-44.835556,505.32,2007-07-03,A545
PIRES DO RIO,GO,Operante,-17.30416666,-48.28416666,757.27,2007-10-11,A033
PIRIPIRI,PI,Operante,-4.2761111,-41.79444444,157.89,2007-08-30,A335
PIUM,TO,Pane,-10.47694443,-49.62944443,161.0,2016-04-05,A051
PLACAS,PA,Pane,-3.86416666,-54.21638888,100.45,2008-02-13,A211
PLANALTO,PR,Operante,-25.72194443,-53.74805555,399.1,2007-11-06,A855
POCO VERDE,SE,Pane,-10.73805555,-38.10833333,367.01,2008-04-02,A419
POMPEU,MG,Operante,-19.23249999,-44.96416666,705.0,2015-08-20,A560
PONTA PORA,MS,Operante,-22.5525,-55.71638888,668.0,2001-09-06,A703
PONTES E LACERDA,MT,Pane,-15.23444444,-59.3461111,272.53,2008-01-29,A937
PORANGATU,GO,Operante,-13.30944444,-49.11749999,365.0,2001-06-03,A005
PORTO ALEGRE - JARDIM BOTANICO,RS,Operante,-30.05351111,-51.17472221,41.18,2000-09-21,A801
PORTO ALEGRE- BELEM NOVO,RS,Operante,-30.1861111,-51.17805554,3.3,2022-12-07,B807
PORTO DE MOZ,PA,Operante,-1.82194443,-52.11166666,19.0,2022-04-06,A245
PORTO ESTRELA,MT,Pane,-15.32472221,-57.22583332,147.75,2008-05-29,A935
PORTO GRANDE,AP,Operante,0.69416666,-51.40388888,84.8,2008-09-16,A244
PORTO MURTINHO,MS,Operante,-21.70583333,-57.88666666,78.56,2006-10-23,A723
PORTO SEGURO,BA,Pane,-16.38888888,-39.18249999,86.36,2008-07-09,A427
PORTO VELHO,RO,Pane,-8.7936111,-63.84583333,86.7,2007-07-10,A925
PORTO WALTER,AC,Pane,-8.26722221,-72.74777777,205.35,2009-10-28,A136
POSSE,GO,Operante,-14.08916666,-46.36638888,830.0,2007-04-17,A017
PRADOPOLIS,SP,Operante,-21.33833333,-48.11388888,544.0,2008-04-21,A747
PREGUICAS,MA,Pane,-2.59222221,-42.7075,4.62,2008-11-21,A218
PRESIDENTE FIGUEIREDO,AM,Pane,-2.05666666,-60.02583332,60.99,2008-04-18,A126
PRESIDENTE KENNEDY,ES,Operante,-21.10083333,-41.03944444,69.12,2008-06-17,A622
PRESIDENTE PRUDENTE,SP,Operante,-22.11999999,-51.40861111,431.92,2003-02-03,A707
PRIMAVERA DO LESTE,MT,Pane,-15.57999999,-54.3811111,680.0,2017-10-25,A923
Paty do Alferes - Avelar,RJ,Operante,-22.34722221,-43.41777777,508.0,2022-11-09,A637
QUARAI,RS,Operante,-30.3686111,-56.43722221,113.05,2007-10-16,A831
QUEIMADAS,BA,Pane,-10.98472221,-39.61694443,310.11,2008-05-22,A436
QUERENCIA,MT,Pane,-12.60305555,-52.1625,355.0,2007-07-17,A916
QUIXADA,CE,Operante,-4.97888888,-39.05722222,193.0,2018-03-19,A369
QUIXERAMOBIM,CE,Pane,-5.17444443,-39.28944444,221.04,2007-07-08,A325
RANCHARIA,SP,Operante,-22.37277777,-50.97472221,398.75,2006-08-31,A718
RANCHO QUEIMADO,SC,Operante,-27.6786111,-49.04194444,881.0,2016-05-30,A870
REDENCAO,PA,Operante,-8.04333333,-50.00694444,199.0,2019-07-10,A254
REGISTRO,SP,Pane,-24.53305554,-47.86416666,35.0,2017-02-08,A766
REMANSO,BA,Pane,-9.62555554,-42.07722221,397.4,2008-03-25,A423
RESENDE,RJ,Operante,-22.45138888,-44.44499999,438.83,2006-09-28,A609
RIBEIRA DO AMPARO,BA,Operante,-11.05861111,-38.44416666,182.0,2018-09-19,A458
RIO BRANCO,AC,Operante,-9.95920402,-67.86898266,163.0,2008-07-10,A104
RIO BRILHANTE,MS,Operante,-21.77499999,-54.52805554,324.31,2008-06-25,A743
RIO CLARO,RJ,Operante,-22.653579,-44.040916,516.0,2016-06-02,A626
RIO DE JANEIRO - FORTE DE COPACABANA,RJ,Operante,-22.98833333,-43.19055555,25.59,2007-05-17,A652
RIO DE JANEIRO - JACAREPAGUA,RJ,Operante,-22.93999999,-43.40277777,20.0,2017-08-09,A636
RIO DE JANEIRO - VILA MILITAR,RJ,Operante,-22.86138888,-43.41138888,30.43,2007-04-12,A621
RIO DE JANEIRO-MARAMBAIA,RJ,Operante,-23.05027777,-43.59555555,12.0,2002-11-07,A602
RIO DO CAMPO,SC,Operante,-26.93749999,-50.14555555,591.67,2008-03-09,A861
RIO GRANDE,RS,Operante,-32.07888888,-52.16777777,4.92,2001-11-15,A802
RIO NEGRINHO,SC,Operante,-26.2486111,-49.57416666,856.0,2008-03-21,A862
RIO PARDO,RS,Operante,-29.87222221,-52.38194443,106.99,2006-09-29,A813
RIO PARDO DE MINAS,MG,Operante,-15.72305554,-42.43583333,850.06,2007-11-16,A551
RIO SONO,TO,Operante,-9.793363,-47.132732,291.0,2016-08-02,A050
RIO URUBU,AM,Pane,-2.6336111,-59.60055555,112.84,2008-06-25,A125
RIO VERDE,GO,Operante,-17.78527777,-50.965,780.11,2007-05-16,A025
RONDON DO PARA,PA,Operante,-4.82749999,-48.1736111,203.0,2008-04-16,A214
RONDONOPOLIS,MT,Operante,-16.4625,-54.58027777,289.88,2003-11-16,A907
ROSARIO OESTE,MT,Operante,-14.82888888,-56.44194444,195.0,2019-05-29,A944
"S, G. DA CACHOEIRA",AM,Operante,-0.125207,-67.061246,79.67,2011-08-30,A134
"S,J. DO RIO CLARO",MT,Operante,-13.45388888,-56.67722221,339.59,2003-02-24,A903
SACRAMENTO,MG,Operante,-19.87527777,-47.43416666,913.12,2006-08-18,A525
SALGUEIRO,PE,Operante,-8.05805555,-39.0961111,447.0,2017-09-14,A370
SALINAS,MG,Operante,-16.16027777,-42.31027777,487.14,2007-09-13,A552
SALINOPOLIS,PA,Pane,-0.61888888,-47.35666666,23.18,2008-06-13,A215
SALTO DO CEU,MT,Operante,-15.12472221,-58.12722221,300.83,2008-01-23,A936
SALVADOR,BA,Operante,-13.005515,-38.50576,47.56,2000-05-12,A401
SALVADOR (RADIO FAROL),BA,Operante,-12.80833333,-38.49583333,31.0,2018-03-09,A456
SANTA CRUZ,RN,Operante,-6.22805554,-36.02666666,227.49,2010-08-16,A367
SANTA FE DO ARAGUAIA,TO,Operante,-7.124191,-48.781267,171.0,2016-07-29,A048
SANTA MARIA,RS,Operante,-29.72499999,-53.72055554,103.1,2001-11-25,A803
SANTA MARIA DAS BARREIRAS,PA,Operante,-8.72972221,-49.85638888,165.0,2020-12-17,A256
SANTA MARIA MADALENA,RJ,Pane,-21.95055555,-42.01027777,586.0,2018-10-15,A630
SANTA RITA DE CASSIA,BA,Pane,-11.00333333,-44.53638888,450.0,2007-05-27,A415
SANTA ROSA,RS,Pane,-27.89055555,-54.47999999,272.84,2006-11-14,A810
SANTA ROSA DO TOCANTINS,TO,Operante,-11.42888888,-48.18499999,306.0,2015-08-13,A052
SANTA TERESA,ES,Operante,-19.98833333,-40.57944443,975.92,2007-08-08,A613
SANTANA DO ARAGUAIA,PA,Pane,-9.34055555,-50.35027777,154.0,2008-05-29,A233
SANTANA DO LIVRAMENTO,RS,Operante,-30.75055555,-55.40138888,196.0,2001-11-21,A804
SANTAREM,PA,Operante,-2.5025,-54.72027777,137.0,2015-09-01,A250
SANTIAGO,RS,Operante,-29.191599,-54.885653,390.03,2009-02-03,A833
SANTO ANTONIO DO LESTE,MT,Pane,-14.92499999,-53.88444444,662.0,2008-05-29,A931
SANTO AUGUSTO,RS,Operante,-27.85444444,-53.7911111,489.67,2001-12-04,A805
SAO BORJA,RS,Operante,-28.65,-56.01638888,81.08,2007-07-20,A830
SAO CARLOS,SP,Operante,-21.98027777,-47.88388888,859.29,2006-09-03,A711
SAO FELIX DO XINGU,PA,Operante,-6.63972221,-51.95694444,211.0,2016-11-14,A216
SAO GABRIEL,RS,Operante,-30.34138888,-54.31083333,114.89,2007-07-10,A832
SAO GABRIEL DO OESTE,MS,Operante,-19.42027777,-54.55305555,646.0,2006-12-17,A732
SAO GONCALO,PB,Operante,-6.835777,-38.311583,237.04,2007-11-05,A333
SAO JOAO DEL REI,MG,Operante,-21.10638888,-44.25083333,929.88,2006-06-08,A514
SAO JOAO DO PIAUI,PI,Operante,-8.36444444,-42.2525,231.0,2007-08-25,A331
SAO JOAQUIM,SC,Operante,-28.27555554,-49.93472221,1400.06,2008-04-11,A815
SAO JOSE DO XINGU,MT,Pane,-10.48416666,-52.37249999,300.0,2019-02-18,A942
SAO JOSE DOS AUSENTES,RS,Operante,-28.7486111,-50.05777777,1228.59,2006-10-25,A829
SAO LUIS,MA,Operante,-2.52666666,-44.21361111,54.8,2003-01-28,A203
SAO LUIS DO QUITUNDE,AL,Pane,-9.28749999,-35.56583333,13.69,2008-09-07,A356
SAO LUIZ DO PARAITINGA,SP,Operante,-23.22833332,-45.41694443,874.0,2007-10-31,A740
SAO LUIZ GONZAGA,RS,Operante,-28.41722221,-54.9625,245.5,2007-07-24,A852
SAO MATEUS,ES,Operante,-18.6761111,-39.86416666,28.66,2006-10-24,A616
SAO MATEUS DO SUL,PR,Operante,-25.83555555,-50.36888888,780.21,2011-04-16,A874
SAO MIGUEL ARCANJO,SP,Operante,-23.89083333,-47.99916666,710.0,2006-08-14,A715
SAO MIGUEL DO ARAGUAIA,GO,Operante,-12.82055554,-50.33583333,210.0,2017-06-28,A031
SAO MIGUEL DO OESTE,SC,Pane,-26.78638888,-53.51416666,647.0,2008-03-11,A857
SAO PAULO - INTERLAGOS,SP,Operante,-23.72444443,-46.67749999,771.0,2018-03-13,A771
SAO PAULO - MIRANTE,SP,Operante,-23.4962888,-46.6200666,785.64,2006-07-24,A701
SAO RAIMUNDO NONATO,PI,Pane,-9.03305554,-42.70111111,385.0,2008-02-26,A345
SAO ROMAO,MG,Operante,-16.36277777,-45.12388888,490.29,2007-06-29,A547
SAO SEBASTIAO DO PARAISO,MG,Operante,-20.91,-47.11416666,845.0,2015-08-16,A561
SAO SIMAO,SP,Operante,-21.46111111,-47.57944443,620.0,2019-07-02,A770
SAO SIMAO,GO,Operante,-18.96916666,-50.63333333,492.45,2006-07-14,A011
SAO VICENTE DO SUL,RS,Operante,-29.70222222,-54.69444444,134.0,2016-04-05,A889
SAPEZAL,MT,Operante,-13.30388888,-58.76333333,105.0,2017-10-19,A911
SAQUAREMA - SAMPAIO CORREIA,RJ,Pane,-22.8711111,-42.60888888,26.0,2015-09-01,A667
SENHOR DO BONFIM,BA,Operante,-10.44305555,-40.14833333,532.09,2008-03-26,A428
SERAFINA CORREA,RS,Operante,-28.70472222,-51.87083332,485.29,2016-03-31,A894
SEROPEDICA-ECOLOGIA AGRICOLA,RJ,Operante,-22.75777777,-43.68472221,35.0,2000-05-23,A601
SERRA DOS AIMORES,MG,Operante,-17.79888888,-40.25,211.97,2006-08-20,A522
SERRA DOS CARAJAS,PA,Pane,-6.07749999,-50.14222221,707.0,2008-09-02,A230
SERRA NOVA DOURADA,MT,Pane,-11.98777777,-51.4261111,441.0,2019-03-28,A943
SERRA TALHADA,PE,Operante,-7.95416666,-38.29499999,499.02,2008-07-08,A350
SERRINHA,BA,Pane,-11.66472222,-39.02305554,337.79,2008-05-08,A441
SETE LAGOAS,MG,Operante,-19.45527777,-44.17333332,719.0,2016-06-09,A569
SETE QUEDAS,MS,Operante,-23.96694443,-55.02416666,398.4,2008-06-02,A751
SIDROLANDIA,MS,Operante,-20.98166666,-54.97194443,471.43,2008-09-28,A754
SILVA JARDIM,RJ,Operante,-22.64583333,-42.41555555,19.0,2015-08-27,A659
SILVANIA,GO,Operante,-16.67972221,-48.61805554,952.0,2010-10-07,A037
SINOP,MT,Operante,-11.98222221,-55.56611111,366.57,2006-10-28,A917
SOBRAL,CE,Pane,-3.74805555,-40.34583333,92.07,2003-02-11,A306
SOLEDADE,RS,Operante,-28.859211,-52.542387,660.44,2008-02-29,A837
SONORA,MS,Operante,-17.63527777,-54.76055555,495.25,2012-11-29,A761
SORRISO,MT,Operante,-12.555,-55.72277777,379.31,2002-12-15,A904
SOURE,PA,Operante,-0.72777777,-48.51583333,12.54,2008-04-26,A227
SURUBIM,PE,Pane,-7.83972221,-35.80111111,421.44,2008-03-08,A328
Santa Vitoria do Palmar - Barra do Chui,RS,Operante,-33.74222221,-53.37222221,7.41,2008-03-07,A899
TANGARA DA SERRA,MT,Operante,-14.65,-57.43166666,440.01,2002-12-10,A902
TAUA,CE,Pane,-6.01749999,-40.28138888,410.87,2007-07-11,A324
TAUBATE,SP,Operante,-23.04166666,-45.52083332,582.26,2006-12-19,A728
TEOFILO OTONI,MG,Operante,-17.89277777,-41.51555555,467.17,2006-08-24,A527
TERESINA,PI,Pane,-5.03472221,-42.80138888,75.23,2004-11-23,A312
TERESOPOLIS-PARQUE NACIONAL,RJ,Operante,-22.4486111,-42.98694444,981.0,2006-10-31,A618
TEUTONIA,RS,Operante,-29.44916666,-51.82333332,81.0,2012-10-03,A882
TIANGUA,CE,Pane,-3.73222221,-41.01194444,756.0,2018-03-14,A368
TIMOTEO,MG,Operante,-19.57388888,-42.62249999,493.42,2006-02-21,A511
TOME ACU,PA,Operante,-2.59249999,-48.36055555,42.95,2007-10-13,A213
TRAMANDAI,RS,Operante,-30.01027777,-50.13583333,4.56,2008-03-08,A834
TRES LAGOAS,MS,Operante,-20.79499999,-51.71333333,328.94,2001-09-02,A704
TRES MARIAS,MG,Operante,-18.200855,-45.459836,931.01,2006-08-24,A528
TRES RIOS,RJ,Operante,-22.09833333,-43.20833333,295.0,2016-06-07,A625
TUCUMA,PA,Operante,-6.74333333,-51.14194444,320.93,2008-07-17,A234
TUCURUI,PA,Pane,-3.82277777,-49.67499999,137.94,2008-02-29,A229
TUPA,SP,Operante,-21.92722221,-50.49027777,498.0,2017-05-11,A768
TUPANCIRETA,RS,Operante,-29.08944444,-53.82666666,462.0,2016-08-10,A886
TURIACU,MA,Operante,-1.66111111,-45.37249999,35.86,2008-06-09,A219
UBERABA,MG,Operante,-19.71,-47.96194444,778.0,2017-05-18,A568
UBERLANDIA,MG,Operante,-18.91694443,-48.25555555,874.77,2002-12-17,A507
UNA,BA,Operante,-15.28027777,-39.09138888,74.08,2008-06-24,A437
UNAI,MG,Operante,-16.55416666,-46.88194443,640.85,2007-06-15,A542
URUCARA,AM,Operante,-2.53472221,-57.75805555,18.49,2008-04-16,A124
URUCUI,PI,Operante,-7.44138888,-44.34499999,398.83,2008-03-05,A346
URUGUAIANA,RS,Pane,-29.83999999,-57.08194443,74.29,2006-09-27,A809
URUSSANGA,SC,Operante,-28.53249999,-49.31527777,40.56,2008-05-28,A814
VACARIA,RS,Operante,-28.51361111,-50.88277777,969.89,2008-04-25,A880
VALENCA,RJ,Pane,-22.35805555,-43.69555555,370.0,2006-09-26,A611
VALENCA,BA,Pane,-13.3436111,-39.12666666,93.12,2009-06-28,A444
VALENCA DO PIAUI,PI,Operante,-6.4236111,-41.74888888,372.0,2009-04-17,A363
VALPARAISO,SP,Operante,-21.31916666,-50.93027777,381.9,2007-08-29,A734
VARGINHA,MG,Operante,-21.56638888,-45.40416666,949.78,2006-07-12,A515
VENDA NOVA DO IMIGRANTE,ES,Operante,-20.38555555,-41.18999999,722.0,2017-02-09,A633
VENTANIA,PR,Operante,-24.28027777,-50.21027777,1093.41,2011-04-14,A872
VICOSA,MG,Operante,-20.762607,-42.864013,697.64,2005-09-14,A510
VILA BELA DA SANTISSIMA TRINDADE,MT,Operante,-15.06277777,-59.87305554,213.0,2006-11-30,A922
VILA VELHA,ES,Operante,-20.46694443,-40.40388888,25.0,2017-02-14,A634
VILHENA,RO,Operante,-12.73499999,-60.15777777,583.3,2008-08-25,A938
VITORIA,ES,Operante,-20.27083332,-40.30583333,9.0,2006-10-30,A612
VITORIA DA CONQUISTA,BA,Operante,-14.88638888,-40.80138888,879.38,2007-05-31,A414
XANXERE,SC,Operante,-26.9386111,-52.39805555,878.74,2008-03-14,A858
XINGUARA,PA,Operante,-7.11055555,-49.9261111,245.0,2016-09-10,A247
ZE DOCA,MA,Operante,-3.26916666,-45.65111111,45.5,2019-09-17,A255
